2234	12734
26097	34810
345	10845
3626	14126
3316	13816
21932	35180
7542	18042
8933	19433
21643	38767
6052	16552
126	10626
5389	15889
5869	16369
9115	19615
4815	15315
5388	15888
23054	33865
5405	15905
28740	32242
8909	19409
29122	33796
22863	35468
28062	36332
9137	19637
2055	12555
1400	11900
6643	17143
22812	37262
22091	31314
30159	36960
3078	13578
22163	36084
10481	20981
21340	36430
10315	20815
6509	17009
8410	18910
4931	15431
2229	12729
22463	34405
541	11041
29258	31500
5670	16170
26227	31289
7414	17914
2580	13080
7549	18049
26496	31689
9069	19569
2917	13417
2039	12539
3	10503
3724	14224
23911	37027
9166	19666
28874	39534
3390	13890
9089	19589
8429	18929
9918	20418
1685	12185
6421	16921
99	10599
9042	19542
28756	30884
1459	11959
26735	34029
23846	33617
29542	32432
6281	16781
8177	18677
154	10654
1071	11571
1734	12234
5639	16139
4943	15443
25758	39644
2444	12944
22332	32960
1120	11620
10150	20650
23598	32544
23597	33833
7951	18451
2727	13227
2539	13039
3613	14113
2222	12722
24550	31232
22207	38076
1570	12070
6766	17266
26274	36872
25307	36863
6719	17219
28381	39558
29702	34041
406	10906
4719	15219
3102	13602
10394	20894
4963	15463
24148	35289
209	10709
27443	38107
3632	14132
6241	16741
7574	18074
3311	13811
4898	15398
22298	35473
10275	20775
10467	20967
3217	13717
8834	19334
28415	37307
2187	12687
1504	12004
26159	39013
7438	17938
9448	19948
4838	15338
3935	14435
28392	32699
4758	15258
23686	33947
6498	16998
2695	13195
23559	34851
666	11166
2339	12839
1977	12477
2112	12612
25289	32065
25518	38181
6071	16571
23744	32540
27377	37944
5764	16264
23023	34538
880	11380
5200	15700
23101	36944
6419	16919
23457	30416
8095	18595
25021	32191
25995	38943
29343	31130
6594	17094
5398	15898
9651	20151
2676	13176
29432	35196
28104	31420
23794	35574
2923	13423
8830	19330
4386	14886
166	10666
5575	16075
6023	16523
21555	33332
9463	19963
148	10648
8974	19474
27503	38259
4425	14925
6404	16904
311	10811
5225	15725
9075	19575
26366	39597
6612	17112
4398	14898
1684	12184
25125	39011
1303	11803
29938	32558
6784	17284
8314	18814
29857	31592
27381	36107
3126	13626
1505	12005
21112	34363
5057	15557
29082	38922
7773	18273
5307	15807
7664	18164
7721	18221
29977	34536
4773	15273
6831	17331
5973	16473
10003	20503
27495	39068
7894	18394
24985	33918
22187	31148
5784	16284
6000	16500
28672	32402
27603	38617
164	10664
10497	20997
29139	34335
1916	12416
7497	17997
28974	31857
8440	18940
4455	14955
773	11273
4874	15374
22436	34721
6127	16627
9035	19535
2078	12578
29749	30470
5566	16066
5249	15749
26321	38808
5607	16107
26794	36547
29606	36088
5998	16498
3023	13523
26773	35406
5468	15968
23779	35744
5126	15626
8123	18623
3238	13738
2764	13264
9354	19854
25448	39538
3231	13731
28818	33293
6393	16893
25600	33049
8641	19141
628	11128
4185	14685
4581	15081
9538	20038
27258	37634
8569	19069
24673	38980
570	11070
9259	19759
25852	38804
6412	16912
852	11352
28300	34296
3402	13902
24490	30617
5353	15853
239	10739
5692	16192
22057	30636
25924	35524
27571	35153
5104	15604
4275	14775
21286	33812
4454	14954
10037	20537
8718	19218
10367	20867
7027	17527
9461	19961
2009	12509
1943	12443
10306	20806
26418	32465
1511	12011
2125	12625
9054	19554
6683	17183
28176	36658
9356	19856
8879	19379
30067	38867
6049	16549
572	11072
9887	20387
6865	17365
5844	16344
24422	37052
9435	19935
10124	20624
5681	16181
24671	36820
1683	12183
27231	31731
7608	18108
21326	32492
7995	18495
6540	17040
21919	34751
7457	17957
27844	39311
25764	39052
3884	14384
4116	14616
5043	15543
27765	35579
5965	16465
9338	19838
2749	13249
7456	17956
9407	19907
8967	19467
1932	12432
27447	31117
23030	35803
4982	15482
23415	30647
26880	37979
23511	31600
21168	37963
5257	15757
22805	38783
29023	37862
7482	17982
9156	19656
24268	36758
5900	16400
5045	15545
27216	30676
8578	19078
21369	37749
8817	19317
261	10761
21500	34607
24706	36608
27305	31820
24127	31696
6225	16725
8564	19064
30028	30955
4954	15454
3287	13787
2349	12849
10392	20892
1572	12072
25274	34617
25237	38917
5220	15720
27164	32093
4153	14653
1211	11711
10232	20732
8938	19438
4578	15078
5816	16316
24056	30347
10188	20688
23198	34829
26994	36874
23815	38950
21305	36451
1589	12089
2645	13145
28744	30756
25326	35921
24051	32412
26885	31640
6684	17184
2332	12832
6238	16738
3455	13955
4768	15268
24709	33776
2144	12644
1537	12037
26929	33478
2299	12799
5618	16118
1577	12077
21632	33583
25069	32761
28847	31201
3518	14018
27286	37599
5873	16373
1810	12310
1112	11612
29761	38248
1175	11675
28027	38919
2408	12908
3752	14252
5997	16497
9774	20274
25208	37817
4204	14704
468	10968
10186	20686
1980	12480
431	10931
8029	18529
28592	30299
9254	19754
5038	15538
25087	36638
9228	19728
26643	37058
27168	31443
4152	14652
78	10578
310	10810
6698	17198
567	11067
8726	19226
23867	36122
1432	11932
2269	12769
24750	34808
2839	13339
9897	20397
3733	14233
6261	16761
3947	14447
10195	20695
371	10871
4925	15425
9100	19600
4573	15073
9992	20492
10416	20916
6379	16879
24615	33165
22387	30665
23923	37877
9509	20009
3244	13744
21989	38104
25613	34445
29510	33342
23613	38055
10425	20925
9757	20257
8814	19314
6628	17128
8068	18568
433	10933
21134	32439
21710	34035
4704	15204
10274	20774
7501	18001
6167	16667
26030	38833
791	11291
8805	19305
25188	36364
25762	35361
1704	12204
4299	14799
8682	19182
7790	18290
9503	20003
5108	15608
28611	30588
22934	36978
7071	17571
3365	13865
2550	13050
10054	20554
1197	11697
28127	39195
6980	17480
835	11335
9789	20289
9786	20286
25908	37710
24154	32655
8658	19158
1825	12325
7983	18483
1134	11634
22060	33471
7137	17637
28701	38391
21786	33751
5186	15686
8330	18830
4130	14630
692	11192
2004	12504
9816	20316
5606	16106
28126	35143
9009	19509
2607	13107
3785	14285
7799	18299
28345	32074
28009	32183
5685	16185
973	11473
3648	14148
4198	14698
30029	32070
10308	20808
25178	31039
23368	39602
6888	17388
5905	16405
23569	33627
25046	39069
25643	32708
6916	17416
5513	16013
4146	14646
7734	18234
6033	16533
4140	14640
26507	35687
6679	17179
28275	39618
5565	16065
2969	13469
22443	37745
3099	13599
2970	13470
1842	12342
22602	31548
24290	35400
9920	20420
8378	18878
1169	11669
9710	20210
3031	13531
10303	20803
9083	19583
2348	12848
1292	11792
4338	14838
5679	16179
2514	13014
1401	11901
1410	11910
1794	12294
2191	12691
22164	33123
5845	16345
28545	31997
24517	37571
5952	16452
21657	37295
27634	38003
29888	30815
3695	14195
4842	15342
6061	16561
26878	33438
8163	18663
27335	34012
24640	37694
7811	18311
22465	37719
27641	33504
9586	20086
8318	18818
21893	33474
29423	32939
1416	11916
8928	19428
9709	20209
25084	39208
9174	19674
502	11002
1146	11646
9834	20334
9346	19846
7765	18265
568	11068
6794	17294
10351	20851
21972	34040
388	10888
5978	16478
4579	15079
9987	20487
4598	15098
1190	11690
6722	17222
21360	33840
8208	18708
22105	37833
8064	18564
